,ad,bizseller,checkout,contact_hope,free_shipping,is_adult,is_super_up_shop,location,max_cpc,name,num_comment,num_faved,only_neighborhood,outlink_url,pid,price,product_image,pu_id,ref_campaign,ref_code,ref_medium,ref_content,ref_source,status,style,super_up,tag,uid,update_time,used,bun_pay_filter_enabled,imp_id,ad_ref,faved
1432,False,False,False,False,False,False,,경상남도 김해시 내외동,,급쳐)나이키 덩크로우 범고래,0,2,False,,164685824,249000,https://media.bunjang.co.kr/product/164685824_1_1631868730_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,270 범고래 나이키 덩크로우,4754137,1631870427,1,False,2993618b4b770876fe52,,False
1433,False,False,False,False,True,False,,,,나이키 조던 덩크로우 범고래 260 265 구매합니다,0,0,False,,164686873,100,https://media.bunjang.co.kr/product/164686873_1_1631866368_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래#덩크로우,74898109,1631866368,1,False,2993618b4b770876fe53,,False
1434,False,False,False,False,False,False,,서울특별시 강동구 상일동,,[150] 덩크로우 범고래TD,0,2,False,,162193353,99000,https://media.bunjang.co.kr/product/162193353_1_1630248589_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,덩크로우범고래 조던1스캇프라그 나이키 토들러 140150,5124310,1631858569,2,False,2993618b4b770876fe54,,False
1435,False,False,False,False,False,False,,울산광역시 남구 선암동,,나이키 범고래 로우 270사이즈 새제품,0,0,False,,163743524,330000,https://media.bunjang.co.kr/product/163743524_1_1631664403_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 범고래 덩크로우 270,75837456,1631857341,1,True,2993618b4b770876fe55,,False
1436,False,False,False,False,False,False,,광주광역시 서구 화정2동,,새상품 나이키 덩크로우 범고래 225,0,0,False,,164675093,350000,https://media.bunjang.co.kr/product/164675093_1_1631857188_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래 덩크로우 나이키 225사이즈,80088,1631857188,1,False,2993618b4b770876fe56,,False
1437,False,False,False,False,False,False,,대구광역시 중구 성내1동,,나이키 덩크로우 범고래 280 미시착 새상품,0,0,False,,164674271,350000,https://media.bunjang.co.kr/product/164674271_1_1631856470_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크로우 범고래 범고래280,3062054,1631856470,1,False,2993618b4b770876fe57,,False
1438,False,False,False,True,False,False,,인천광역시 서구 신현원창동,,(구매) 나이키 덩크로우 범고래 260 삽니다,0,0,False,,156949557,0,https://media.bunjang.co.kr/product/156949557_1_1623910626_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래 덩크로우 나코텝 260,3040467,1631855208,2,False,2993618b4b770876fe58,,False
1439,False,False,False,False,True,False,,,,나이키 덩크로우 범고래 gs230,0,2,False,,164669894,330000,https://media.bunjang.co.kr/product/164669894_1_1632134422_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 나이키덩크로우 범고래 나이키범고래 범고래230,5509177,1631852660,2,True,2993618b4b770876fe59,,False
1440,False,False,False,False,False,False,,대전광역시 중구 문화1동,,새상품 나이키 덩크로우 범고래250m,0,2,False,,162870373,315000,https://media.bunjang.co.kr/product/162870373_1_1630511042_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키에어맥스 나이키사카이 나이키스니커즈 나이키바람막이 나이키윈드러너,3056346,1631851692,1,True,2993618b4b770876fe5a,,False
1441,False,False,False,False,False,False,,경기도 오산시 중앙동,,[220] 나이키 덩크 로우 범고래 새상품,0,0,False,,164657437,1234,https://media.bunjang.co.kr/product/164657437_1_1631871974_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크 덩크로우 범고래 220,6791346,1631839468,2,False,2993618b4b770876fe5b,,False
1442,False,False,False,False,True,False,,경기도 용인시 기흥구 보정동,,[240] 나이키 덩크 로우 범고래,0,11,False,,160886327,360000,https://media.bunjang.co.kr/product/160886327_1_1631839311_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크로우 240 범고래 나이키브랜덕데이,372981,1631839314,2,False,2993618b4b770876fe5c,,False
1443,False,False,False,False,True,False,,,,나이키 조던 덩크로우 범고래 265 구매합니다,0,0,False,,164595684,300000,https://media.bunjang.co.kr/product/164595684_1_1631851405_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,조던#범고래#덩크,74898109,1631810371,1,False,2993618b4b770876fe5d,,False
1444,False,False,False,False,True,False,,세종특별자치시  한솔동,,나이키 덩크로우 범고래 265,0,5,False,,164590174,111,https://media.bunjang.co.kr/product/164590174_1_1632415017_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래 나이키덩크로우범고래 덩크로우,1084421,1631805833,1,False,2993618b4b770876fe5e,,False
1445,False,False,False,False,False,False,,인천광역시 남동구 구월1동,,나이키 덩크로우 범고래 W245,0,2,False,,164548508,300000,https://media.bunjang.co.kr/product/164548508_1_1631702763_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크,5500313,1631805023,1,False,2993618b4b770876fe5f,,False
1446,False,False,False,False,False,False,,경기도 용인시 처인구 모현읍,,나이키 덩크로우 범고래,1,27,False,,163289174,270000,https://media.bunjang.co.kr/product/163289174_1_1631804293_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키범고래로우,6385265,1631804302,1,False,2993618b4b770876fe60,,False
