날짜,나이키덩크로우골든로드,나이키덩크로우라이트본,나이키덩크로우바시티그린,나이키덩크로우범고래,나이키덩크로우유니버시티블루,나이키덩크로우코스트,나이키덩크하이네이비,나이키덩크하이범고래,나이키덩크하이오렌지,조던1하이다크모카,조던1하이스모크그레이,조던1하이하이퍼로얄,조던1미드그레이포크,조던1미드스모크그레이,조던1미드울프그레이,조던1미드짐레드,조던1로우스타피쉬,조던1로우울프그레이,조던1로우트레비스스캇,뉴발란스992그레이,뉴발란스992네이비,뉴발란스992블랙그레이,뉴발란스992화이트실버,뉴발란스993네이비,뉴발란스993그레이,뉴발란스993블랙
2021-04-25,,,,46.0,,27.0,,16.0,,,,6.0,,6.0,,1.0,,,,32,3.0,2.0,4.0,1.0,44,9.0
2021-04-26,,,,26.0,,38.0,,21.0,,3.0,3.0,,,,,3.0,,,,28,7.0,8.0,,3.0,45,13.0
2021-04-27,,,,20.0,,36.0,,19.0,,3.0,,,,13.0,,6.0,,,,30,2.0,4.0,,5.0,51,10.0
2021-04-28,,,,13.0,,51.0,,23.0,,,,,,6.0,,23.0,,,,48,2.0,2.0,,2.0,34,9.0
2021-04-29,,,,10.0,,60.0,,37.0,1.0,16.0,6.0,,,4.0,,18.0,,,,32,2.0,2.0,1.0,1.0,45,6.0
2021-04-30,,,,7.0,,22.0,,47.0,,35.0,,,,4.0,,4.0,,,,28,3.0,1.0,,6.0,42,5.0
2021-05-01,,,,11.0,,22.0,,100.0,2.0,,3.0,3.0,,5.0,,13.0,,,,26,4.0,2.0,1.0,2.0,30,6.0
2021-05-02,,,,9.0,,14.0,,28.0,,3.0,,,,8.0,,13.0,,,,30,4.0,4.0,4.0,4.0,38,10.0
2021-05-03,,,,8.0,,30.0,,26.0,1.0,,,,,14.0,,13.0,,,,16,1.0,2.0,,2.0,40,13.0
2021-05-04,,,,7.0,,14.0,,27.0,,,13.0,,,16.0,,6.0,,,,23,3.0,5.0,2.0,1.0,34,9.0
2021-05-05,,,,8.0,,14.0,,17.0,,,10.0,,,1.0,,20.0,,,,32,5.0,3.0,,4.0,41,11.0
2021-05-06,,,,8.0,,10.0,,22.0,,,13.0,,,1.0,,13.0,,,,38,6.0,1.0,5.0,4.0,49,11.0
2021-05-07,,,,6.0,,33.0,,17.0,,,,,,,,8.0,,,3.0,20,7.0,1.0,,8.0,29,4.0
2021-05-08,,,,6.0,,14.0,,11.0,,19.0,3.0,,,14.0,,5.0,,,,22,5.0,1.0,,3.0,32,8.0
2021-05-09,,,,7.0,,7.0,,8.0,1.0,10.0,3.0,,,,,1.0,,,,36,5.0,2.0,,7.0,31,11.0
2021-05-10,,,,7.0,,11.0,,9.0,1.0,,3.0,,,3.0,,5.0,,,,38,5.0,,,4.0,37,13.0
2021-05-11,,,,8.0,,13.0,,9.0,1.0,16.0,16.0,,,13.0,,23.0,,,,28,2.0,2.0,1.0,5.0,33,7.0
2021-05-12,,,,7.0,,22.0,,10.0,,6.0,,,,,,20.0,,,,32,6.0,1.0,,3.0,28,8.0
2021-05-13,,,,7.0,,19.0,,6.0,1.0,16.0,10.0,,,11.0,,15.0,,,,24,3.0,2.0,,4.0,30,13.0
2021-05-14,,,,5.0,,19.0,,3.0,,,10.0,6.0,,4.0,,11.0,,,,17,6.0,1.0,5.0,2.0,20,8.0
2021-05-15,,,,5.0,,13.0,,6.0,,,,,,,,14.0,,,,27,5.0,3.0,2.0,1.0,34,14.0
2021-05-16,,,,7.0,,6.0,,12.0,4.0,,,6.0,,8.0,,,,,,20,5.0,,1.0,3.0,34,16.0
2021-05-17,,,,6.0,,9.0,,11.0,1.0,13.0,,16.0,,4.0,,15.0,,,3.0,23,4.0,2.0,,2.0,40,34.0
2021-05-18,,,,6.0,,31.0,,9.0,1.0,3.0,,,,1.0,,53.0,,,,21,6.0,6.0,,1.0,19,17.0
2021-05-19,,,,6.0,,20.0,,6.0,,6.0,,,,1.0,,43.0,,,,20,9.0,1.0,,2.0,38,13.0
2021-05-20,,,,6.0,,14.0,,4.0,,,3.0,,,13.0,,24.0,,,,18,8.0,3.0,,4.0,27,10.0
2021-05-21,,,,6.0,,14.0,,8.0,1.0,,,,,3.0,,30.0,,,,15,4.0,2.0,,2.0,19,4.0
2021-05-22,,,,7.0,,17.0,,8.0,2.0,3.0,,,,14.0,1.0,13.0,,,,17,3.0,6.0,,3.0,22,4.0
2021-05-23,,,,7.0,,23.0,,7.0,1.0,13.0,,13.0,,1.0,1.0,27.0,,,,18,6.0,1.0,2.0,2.0,25,18.0
2021-05-24,,,,7.0,,51.0,,4.0,3.0,,13.0,,,8.0,,18.0,,,,17,11.0,2.0,,3.0,17,3.0
2021-05-25,,,,7.0,,27.0,,3.0,1.0,,,,,5.0,,23.0,,,,28,7.0,2.0,,3.0,22,5.0
2021-05-26,,,,7.0,,12.0,,6.0,2.0,,,,,3.0,,10.0,,,,33,7.0,1.0,1.0,1.0,27,4.0
2021-05-27,,,,7.0,,24.0,,7.0,2.0,,,,,9.0,,14.0,,,,37,2.0,2.0,,2.0,17,4.0
2021-05-28,,,,6.0,,14.0,,14.0,1.0,10.0,16.0,,,,,41.0,,,,22,2.0,1.0,2.0,7.0,17,6.0
2021-05-29,,,,7.0,,19.0,,6.0,1.0,6.0,16.0,,,6.0,,48.0,,,,15,2.0,3.0,1.0,6.0,23,6.0
2021-05-30,,,,8.0,,40.0,,6.0,2.0,,6.0,,,,,42.0,,,,22,4.0,6.0,,4.0,22,10.0
