,location,name,num_faved,pid,price,status,uid,update_time,used,datetime,date,size,product_name,brand,product_type,color,release_price,location1,location2,location3
78,서울특별시 노원구 상계6.7동,[270] 나이키 조던1 로우 og 스타피쉬,3,166808069,350000,3,5463775,1634462029,2,2021-10-17 18:13:49,2021-10-17,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,노원구,상계6.7동
79,경기도 화성시 동탄3동,조던1로우 스타피쉬 225,5,165858416,260000,3,424338,1634411746,1,2021-10-17 04:15:46,2021-10-17,225,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,화성시,동탄3동
80,경기도 군포시 광정동,조던1 로우 스타피쉬 w255,3,167131697,235000,3,77404459,1634343780,1,2021-10-16 09:23:00,2021-10-16,255,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,군포시,광정동
81,인천광역시 계양구 작전2동,[260]나이키 조던1로우 스타피쉬 ,1,166279456,345000,3,8353590,1634170792,2,2021-10-14 09:19:52,2021-10-14,260,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,인천광역시,계양구,작전2동
82,서울특별시 강남구 신사동,조던 1 로우 스타피쉬 280,1,166887585,340000,3,76402620,1634113588,2,2021-10-13 17:26:28,2021-10-13,280,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,강남구,신사동
83,경기도 고양시 덕양구 신도동,[255] W 조던1 로우 OG 스타피쉬,6,165785391,270000,3,5921649,1634089186,2,2021-10-13 10:39:46,2021-10-13,255,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,고양시,덕양구 신도동
84,경기도 안산시 상록구 본오2동,풀박 새상품급 조던1 로우 og 스타피쉬 275사이즈,2,166651706,310000,3,5534614,1633965600,1,2021-10-12 00:20:00,2021-10-12,275,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,안산시,상록구 본오2동
85,경기도 안산시 단원구 선부2동,조던 1 로우 OG 스타피쉬 나코택 사이즈 맨250 팝니다,6,166042197,1000,3,4352936,1633964497,2,2021-10-12 00:01:37,2021-10-12,250,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,안산시,단원구 선부2동
86,경기도 시흥시 정왕본동,조던1 로우 og 스타피쉬 270사이즈 팝니다,0,166713060,289000,3,75587132,1633947661,1,2021-10-11 19:21:01,2021-10-11,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,시흥시,정왕본동
87,경기도 고양시 일산서구 송포동,[235]조던1 로우 스타피쉬,6,165948436,274000,3,3907214,1633913377,2,2021-10-11 09:49:37,2021-10-11,235,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,고양시,일산서구 송포동
