날짜,뉴발란스 993 그레이,뉴발란스 993 네이비,뉴발란스 993 블랙
2021-10-27,72.21206,8.77513,16.63619
2021-10-28,70.56672,7.31261,15.17367
2021-10-29,63.07129,5.66727,8.59232
2021-10-30,68.73857,8.4095,10.05484
2021-10-31,67.27605,7.67824,7.67824
2021-11-01,68.73857,6.0329,12.79707
2021-11-02,67.82449,8.59232,13.52833
2021-11-03,79.52468,6.39853,16.45338
2021-11-04,78.24497,8.22669,10.96892
2021-11-05,61.24314,5.85009,9.87202
2021-11-06,61.79159,7.31261,14.62522
2021-11-07,72.94332,6.21572,11.51736
2021-11-08,68.19012,7.67824,17.00182
2021-11-09,67.64168,5.66727,20.2925
2021-11-10,57.2212,2.74223,12.61425
2021-11-11,65.44789,6.39853,12.61425
2021-11-12,62.88848,4.57038,10.7861
2021-11-13,66.54478,6.21572,10.60329
